clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
10,Auts2,0.0016565252845827003,1.0,0.0392156862745098
10,Malat1,0.0018176334656388022,83.0,0.01819040869359792
11,Glis3,0.002757762507508734,6.0,0.8823529411764707
11,Trpc6,0.005558445990906153,4.0,0.8823529411764706
11,Stxbp6,0.005497687712514927,10.0,0.8823529411764705
11,Adarb2,0.003496310301341272,15.0,0.8300653594771242
11,Ntng1,0.004402491856173375,6.0,0.7712418300653595
11,Trpm3,0.003876920816546261,14.0,0.7303921568627451
11,Rfx3,0.0026985305764050194,14.0,0.7002801120448178
11,Zbtb20,0.0031519199870529424,38.0,0.6960784313725489
11,Ahcyl2,0.002579746952839616,7.0,0.515406162464986
11,Epha6,0.002633167633146591,11.0,0.3288770053475936
12,Dsp,0.0034483323785405905,1.0,1.0
12,Hectd2os,0.005223048069199318,1.0,0.9411764705882353
12,Slc4a4,0.005855555348864798,16.0,0.9129901960784313
12,Pdzd2,0.005466175886307263,7.0,0.899159663865546
12,Ahcyl2,0.0074791125495055075,29.0,0.8424611223799863
12,Cntnap5b,0.004774784895111996,9.0,0.828976034858388
12,Hectd2,0.007545630313167316,5.0,0.8156862745098039
12,Sphkap,0.0042590799736347195,14.0,0.8095238095238096
12,Tafa2,0.0038745916053094897,32.0,0.7833946078431373
12,Nr3c2,0.003398096108512276,20.0,0.7137254901960784
13,Pdgfra,0.015631043651868636,2.0,1.0
13,Cacng4,0.012177753369934105,1.0,1.0
13,Cspg4,0.012029903884489346,1.0,1.0
13,Kcnh8,0.009989286676535855,1.0,0.9803921568627451
13,Lhfpl3,0.024292794247931838,24.0,0.968137254901961
13,Vcan,0.01005787279140114,4.0,0.9656862745098039
13,Ppfibp1,0.010213664702214673,2.0,0.9607843137254902
13,Ptprz1,0.009974264480218493,13.0,0.9230769230769231
13,Epn2,0.01088227403627049,7.0,0.8347338935574229
13,Pcdh15,0.014900373059627022,18.0,0.7184095860566451
14,Foxp2,0.014695918359199733,5.0,0.9960784313725489
