clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
13,Ntng2,0.0030035403145891805,1.0,0.9423076923076923
13,Pld5,0.0052238608984886414,1.0,0.9038461538461539
13,Chrm2,0.004961162590054938,3.0,0.8974358974358974
13,Cdh9,0.0038466815185219955,5.0,0.8923076923076922
13,Galnt14,0.00499542774940981,3.0,0.8461538461538461
13,Cdh18,0.003728488884444543,20.0,0.7980769230769231
13,Clstn2,0.003357792159306311,12.0,0.7612179487179488
13,Slc24a2,0.004108883213586853,19.0,0.7363360323886637
13,Tenm4,0.0032128871160391355,15.0,0.7320512820512821
14,Gm44593,0.01127886526201858,1.0,1.0
14,Gm2164,0.017574921880162065,7.0,0.9862637362637364
14,Tafa1,0.00944450553705958,93.0,0.957196029776675
14,Tmem163,0.005838033757566492,2.0,0.9326923076923077
14,Tox,0.005650418705524185,21.0,0.9184981684981683
14,Pex5l,0.011429888528846062,48.0,0.9162660256410257
14,Hcn1,0.005680880092738043,36.0,0.8862179487179488
14,Kcnn2,0.009373943011043115,13.0,0.8846153846153846
14,Grid2,0.005625420591160398,55.0,0.8590909090909091
14,Ralyl,0.007047480761159433,78.0,0.8483727810650888
15,Gm6145,0.005712807162058364,2.0,0.9423076923076923
15,Gli3,0.008830600960911652,3.0,0.9423076923076922
15,Mertk,0.008570625822227522,5.0,0.9115384615384614
15,Plpp3,0.006330158466765987,5.0,0.9038461538461539
15,Ptprz1,0.005208834959349331,8.0,0.8774038461538461
15,Rgs20,0.005948054054372484,5.0,0.851923076923077
15,Msi2,0.0058471234956794125,9.0,0.7606837606837609
15,mt-Cytb,0.008099375635840421,2.0,0.009615384615384616
15,mt-Nd1,0.005197842772740559,2.0,0.009615384615384616
15,mt-Co2,0.009814317855661366,3.0,0.006410256410256411
16,Cspg4,0.02545187624588745,1.0,1.0
16,Pdgfra,0.019479015607048098,2.0,1.0
16,Plpp4,0.014530470944374619,1.0,1.0
16,Cacng4,0.010775592513452897,2.0,1.0
16,Kcnh8,0.009302431874216192,1.0,1.0
16,Vcan,0.009722915426268805,5.0,0.9846153846153846
16,Megf11,0.010156057155431178,2.0,0.9615384615384616
16,Adam12,0.008096324699134823,1.0,0.9615384615384616
16,Lhfpl3,0.014776516818445655,20.0,0.9615384615384615
16,Gm2164,0.007935998952795337,1.0,0.9423076923076923
17,Matn2,0.007482108784206779,2.0,0.9711538461538461
17,Smoc2,0.003851082090173664,1.0,0.9615384615384616
17,Ccbe1,0.006728371633086808,3.0,0.9551282051282052
17,Itga8,0.006527140371170367,4.0,0.9471153846153846
17,Fbxl7,0.007779341896747395,1.0,0.9423076923076923
17,Dpyd,0.0030225394767254355,3.0,0.9038461538461537
17,Rfx3,0.005900553763765807,13.0,0.86094674556213
17,Egfem1,0.0056770122518457,20.0,0.8567307692307692
17,March1,0.0037688440217402953,27.0,0.8247863247863249
17,Cdh13,0.004847021137291577,7.0,0.8159340659340659
18,Gli3,0.004918170971828033,2.0,0.9230769230769231
18,Gm6145,0.004345773892130988,1.0,0.9230769230769231
18,Ntsr2,0.0036980656713736016,2.0,0.9134615384615384
18,Plpp3,0.005158120950615871,5.0,0.9038461538461539
18,Mertk,0.00455903797443016,3.0,0.891025641025641
18,Gja1,0.0058766180672874145,1.0,0.8846153846153846
18,Ptprz1,0.006388265940903082,6.0,0.8557692307692307
18,Rgs20,0.003950101718858225,4.0,0.8245192307692307
18,Slc1a2,0.005138152321223907,19.0,0.8011133603238866
18,Apoe,0.0037526895919870306,9.0,0.800213675213675
19,Slc26a4,0.004014147622387384,1.0,0.9807692307692307
19,Sulf1,0.008466484878810536,3.0,0.9487179487179487
19,Sema3e,0.004576843246795801,2.0,0.9326923076923077
19,Bmpr1b,0.0052301591046594546,4.0,0.9230769230769231
19,Cdh9,0.005034296520232168,7.0,0.9230769230769231
19,Col6a1,0.0039014702793471272,1.0,0.9230769230769231
19,Galnt14,0.010898412532647186,5.0,0.8999999999999999
19,Il1rapl2,0.00676504626007132,5.0,0.8846153846153846
19,Tenm3,0.005050514913840958,10.0,0.8846153846153845
19,Chrm2,0.004466933339627891,2.0,0.8653846153846154
20,Sulf1,0.0051019351600748,3.0,0.9487179487179487
20,Zfpm2,0.0070199031499766475,25.0,0.9288461538461539
20,Cntnap4,0.009761311780886434,7.0,0.9148351648351647
20,Hs3st4,0.006978732638456366,35.0,0.9071428571428571
20,Thsd7b,0.0038828602199786465,7.0,0.881868131868132
20,Ryr3,0.0073167248991827345,10.0,0.8778846153846153
20,Sdk2,0.004815808925976541,5.0,0.8769230769230771
20,Tle4,0.00478916807065506,6.0,0.8637820512820513
20,Mgat4c,0.005151078684320778,32.0,0.8347355769230769
20,Cdh13,0.006370523203213929,7.0,0.8159340659340659
21,Pvalb,0.008234766965935772,1.0,1.0
21,Eya4,0.007088185453342802,5.0,1.0
21,6330411D24Rik,0.020969093147475668,7.0,0.9972527472527472
21,Tmem132c,0.0060673320026112185,1.0,0.9807692307692307
21,Gm1604a,0.009808037132713238,2.0,0.9711538461538461
21,Cemip,0.010606706378730853,7.0,0.9642857142857143
21,Btbd11,0.008174074021376931,6.0,0.9519230769230769
21,Kcnc1,0.006975337875602018,6.0,0.9423076923076924
21,Kcnmb2,0.006789889374628607,8.0,0.9278846153846154
21,Cntnap3,0.009394156735988823,2.0,0.9230769230769231
22,Elfn1,0.009932904522693284,2.0,0.9903846153846154
22,Sst,0.02642282934667649,14.0,0.9848901098901099
22,Grin3a,0.009718714430659666,12.0,0.9791666666666667
22,Unc13c,0.005872118945951221,5.0,0.9692307692307692
22,Reln,0.010690813076052453,10.0,0.95
22,Shisa6,0.006011238490425909,4.0,0.9471153846153846
22,Lypd6,0.005843613190625726,1.0,0.9423076923076923
22,Gm1604a,0.005424043651667712,1.0,0.9423076923076923
22,Synpr,0.0075223005444579796,13.0,0.9289940828402367
22,Cntnap3,0.006609385798450191,2.0,0.9230769230769231
23,Cpa6,0.005834798529816111,2.0,0.9903846153846154
23,Trabd2b,0.004139429998125417,2.0,0.9519230769230769
23,Foxp2,0.0046568867260778765,14.0,0.9409340659340658
23,Zfpm2,0.006815340107726805,22.0,0.9191433566433566
23,Hs3st4,0.005093555892958129,30.0,0.8955128205128206
23,Thsd7b,0.002851659232536108,7.0,0.881868131868132
23,Slc35f3,0.0037913198261136645,4.0,0.8557692307692307
23,Tle4,0.0035573457543478736,5.0,0.8519230769230769
23,Dcc,0.003725728501038575,21.0,0.7701465201465202
23,Nfia,0.0034187573752368226,8.0,0.75
24,Slc25a18,0.0037229059275760775,1.0,0.9807692307692307
24,Nwd1,0.006908245092047193,2.0,0.9423076923076923
